TEAMname,color,Mascot,TEAM
Temple,#A80532,Owls,Temple Owls
Tennessee,#EE9627,Volunteers,Tennessee Volunteers
Tennessee State,#383C84,Tigers,Tennessee State Tigers
Tennessee Tech,#5A4099,Golden Eagles,Tennessee Tech Golden Eagles
Tennessee-Martin,#FF6700,Skyhawks,Tennessee-Martin Skyhawks
Texas,#EE7524,Longhorns,Texas Longhorns
Texas A&M;,#5C0025,Aggies,Texas A&M; Aggies
Texas A&amp;M-CC;,#014B80,Islanders,Texas A&amp;M-CC; Islanders
Texas Southern,#6A0403,Tigers,Texas Southern Tigers
Texas State,#744143,Bobcats,Texas State Bobcats
Texas Tech,#C80025,Red Raiders,Texas Tech Red Raiders
Texas-Arlington,#004B7C,Mavericks,Texas-Arlington Mavericks
Texas-Pan American,#DC6000,Broncs,Texas-Pan American Broncs
Texas-San Antonio,#002A5C,Roadrunners,Texas-San Antonio Roadrunners
Toledo,#00488F,Rockets,Toledo Rockets
Towson,#FFC229,Tigers,Towson Tigers
Troy,#AE0210,Trojans,Troy Trojans
Tulane,#005837,Green Wave,Tulane Green Wave
Tulsa,#004371,Golden Hurricane,Tulsa Golden Hurricane
UAB,#054338,Blazers,UAB Blazers
UC Davis,#183563,Aggies,UC Davis Aggies
UC Irvine,#002B5C,Anteaters,UC Irvine Anteaters
UC Riverside,#14234F,Highlanders,UC Riverside Highlanders
UC Santa Barbara,#1D1160,Gauchos,UC Santa Barbara Gauchos
UCF,#231F20,Knights,UCF Knights
UCLA,#005C8E,Bruins,UCLA Bruins
UMBC,#221F1F,Retrievers,UMBC Retrievers
UMKC,#005486,Kangaroos,UMKC Kangaroos
UNC Greensboro,#003559,Spartans,UNC Greensboro Spartans
UNLV,#231E1F,Rebels,UNLV Rebels
USC,#AE2531,Trojans,USC Trojans
USC Upstate,#702D07,Spartans,USC Upstate Spartans
Utah,#CD1041,Utes,Utah Utes
Utah State,#003263,Aggies,Utah State Aggies
Utah Valley,#004812,Wolverines,Utah Valley Wolverines
UTEP,#002843,Miners,UTEP Miners
Valparaiso,#794500,Crusaders,Valparaiso Crusaders
Vanderbilt,#000000,Commodores,Vanderbilt Commodores
Vermont,#013C24,Catamounts,Vermont Catamounts
Villanova,#123d7C,Wildcats,Villanova Wildcats
Virginia,#00204E,Cavaliers,Virginia Cavaliers
Virginia Commonwealth,#7D7D7A,Rams,Virginia Commonwealth Rams
Virginia Military ,#000000,Institute Keydets,Virginia Military Institute Keydets
Virginia Tech,#74232D,Hokies,Virginia Tech Hokies
Wagner,#00483A,Seahawks,Wagner Seahawks
Wake Forest,#000000,Demon Deacons,Wake Forest Demon Deacons
Washington,#2B2F64,Huskies,Washington Huskies
Washington State,#97002F,Cougars,Washington State Cougars
Weber State,#29086B,Wildcats,Weber State Wildcats
West Virginia,#FFC600,Mountaineers,West Virginia Mountaineers
Western Carolina,#492F91,Catamounts,Western Carolina Catamounts
Western Illinois,#6812BB,Leathernecks,Western Illinois Leathernecks
Western Kentucky,#F32026,Hilltoppers,Western Kentucky Hilltoppers
Western Michigan,#7E3E09,Broncos,Western Michigan Broncos
Wichita State,#101008,Shockers,Wichita State Shockers
William &amp; Mary,#103217,Tribe,William &amp; Mary Tribe
Winthrop,#9E0B0E,Eagles,Winthrop Eagles
Wisconsin,#A00000,Badgers,Wisconsin Badgers
Wofford,#000000,Terriers,Wofford Terriers
Wright State,#006F53,Raiders,Wright State Raiders
Wyoming,#533B22,Cowboys,Wyoming Cowboys
Xavier,#002144,Musketeers,Xavier Musketeers
Yale,#004A81,Bulldogs,Yale Bulldogs
Youngstown State,#E51937,Penguins,Youngstown State Penguins
